Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Mainland China,2020-03-06T03:23:06,990,6,979,31.8257,117.2264
Mainland China,2020-03-06T14:23:04,935,1,909,27.614,115.7221
Mainland China,2020-03-06T11:03:10,758,6,618,36.3427,118.1498
Mainland China,2020-03-06T10:23:03,631,0,594,32.9711,119.455
Mainland China,2020-03-06T11:03:10,576,6,513,30.0572,107.874
Mainland China,2020-03-06T12:53:03,539,3,442,30.6171,102.7103
Mainland China,2020-03-06T14:23:04,481,13,396,47.861999999999995,127.7615
Mainland China,2020-03-06T12:53:03,422,8,299,40.1824,116.4142
Mainland China,2020-03-06T06:03:13,342,3,306,31.201999999999998,121.4491
Mainland China,2020-03-06T03:23:06,318,6,305,38.0428,114.5149
Mainland China,2020-03-06T12:53:03,296,1,284,26.0789,117.9874
Mainland China,2020-03-06T00:33:02,252,2,217,23.8298,108.7881
Mainland China,2020-03-06T10:23:03,245,1,226,35.1917,108.8701
Mainland China,2020-03-06T03:23:06,174,2,170,24.974,101.48700000000001
Mainland China,2020-03-05T06:13:10,168,6,158,19.1959,109.7453
UK,2020-03-06T15:33:03,163,2,8,55.0,-3.0
Mainland China,2020-03-02T01:13:06,146,2,114,26.8154,106.8748
Mainland China,2020-03-05T03:33:27,136,3,128,39.3054,117.323
Mainland China,2020-03-05T14:53:03,133,0,126,37.5777,112.2922
Singapore,2020-03-06T13:03:12,130,0,78,1.2833,103.8333
Mainland China,2020-03-03T14:33:03,125,1,106,41.2956,122.6085
Mainland China,2020-03-06T14:43:15,119,2,87,36.0611,103.8343
Mainland China,2020-03-06T10:23:03,93,1,90,43.6661,126.1923
Mainland China,2020-03-06T05:53:03,76,3,71,41.1129,85.2401
Mainland China,2020-03-05T23:53:01,75,1,65,44.0935,113.9448
Mainland China,2020-03-06T12:53:03,75,0,71,37.2692,106.1655
US,2020-03-06T23:13:07,58,12,1,47.548,-121.9836
US,2020-03-02T19:53:03,45,0,0,35.4437,139.638
India,2020-03-06T13:03:12,31,0,3,21.0,78.0
US,2020-03-05T22:53:03,20,0,1,37.3541,-121.9552
US,2020-03-06T23:13:07,19,1,0,48.033,-121.8339
US,2020-03-06T15:43:03,19,0,0,41.122,-73.7949
Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956
US,2020-03-06T19:13:40,16,0,0,40.7128,-74.006
US,2020-03-06T23:13:07,13,0,0,34.0522,-118.2437
US,2020-03-05T18:33:03,5,0,2,41.7377,-87.6976
US,2020-03-06T23:13:07,5,1,0,39.0916,-120.8039
US,2020-03-06T00:33:03,5,0,0,47.7511,-120.7401
New Zealand,2020-03-06T01:29:39,4,0,0,-40.9006,174.886
US,2020-03-06T19:43:02,3,0,0,37.8534,-121.9018
US,2020-03-06T15:43:02,3,0,0,29.7752,-95.3103
US,2020-03-06T04:03:17,3,0,0,39.1547,-77.2405
US,2020-03-04T02:13:11,3,0,0,33.7879,-117.8531
US,2020-03-05T20:33:03,3,0,1,32.7157,-117.1611
US,2020-03-06T18:33:03,3,0,1,42.3601,-71.0589
US,2020-03-06T18:33:03,2,0,0,42.1767,-71.1449
US,2020-03-05T21:03:12,2,0,0,40.9263,-74.077
US,2020-03-06T23:33:02,2,0,0,39.7392,-104.9903
US,2020-03-03T03:33:02,2,0,0,33.8034,-84.3963
US,2020-03-03T23:33:03,2,0,0,43.9088,-71.82600000000001
US,2020-03-03T18:33:02,2,0,0,27.9904,-82.3018
US,2020-03-06T18:33:03,2,0,0,33.2918,-112.4291
